0.5 0.5 0.5 0.5 0.5,BJA,Gbest:-1070,Lbest:-1076
0.5 0.5 0.5 0.5 0.5,BJA,Gbest:-1070,Lbest:-1076
0.5 0.5 0.5 0.5 0.5,BJA,Gbest:-1070,Lbest:-1096
0.5 0.499999 0.5 0.5 0.5,BJA,Gbest:-1070,Lbest:-1101
0.5 0.499998 0.5 0.5 0.499999,BJA,Gbest:-1070,Lbest:-1074
0.5 0.499996 0.5 0.499999 0.499998,BJA,Gbest:-1070,Lbest:-1099
0.5 0.499992 0.5 0.499999 0.499996,BJA,Gbest:-1070,Lbest:-1095
0.5 0.499985 0.499999 0.499998 0.499992,BJA,Gbest:-1070,Lbest:-1098
0.5 0.49997 0.499998 0.499998 0.499985,BJA,Gbest:-1070,Lbest:-1101
0.5 0.49997 0.499996 0.499996 0.49997,BJA,Gbest:-1070,Lbest:-1081
0.5 0.499939 0.499996 0.499992 0.499939,BJA,Gbest:-1070,Lbest:-1115
0.5 0.499878 0.499996 0.499992 0.499878,BJA,Gbest:-1070,Lbest:-1078
0.5 0.499878 0.499996 0.499992 0.499756,BJA,Gbest:-1070,Lbest:-1093
0.5 0.499756 0.499992 0.499992 0.499756,BJA,Gbest:-1070,Lbest:-1072
0.5 0.499512 0.499985 0.499992 0.499512,BJA,Gbest:-1070,Lbest:-1093
0.5 0.499023 0.499985 0.499985 0.499023,BJA,Gbest:-1070,Lbest:-1110
0.5 0.499023 0.49997 0.499985 0.498047,BJA,Gbest:-1070,Lbest:-1091
0.5 0.498047 0.49997 0.49997 0.496094,BJA,Gbest:-1070,Lbest:-1111
0.5 0.498047 0.499939 0.49997 0.496094,BJA,Gbest:-1065,Lbest:-1065
0.5 0.496094 0.499939 0.499939 0.496094,BJA,Gbest:-1065,Lbest:-1107
0.5 0.494141 0.499939 0.499878 0.496094,BJA,Gbest:-1065,Lbest:-1073
0.500001 0.493164 0.499939 0.499756 0.496094,BJA,Gbest:-1065,Lbest:-1087
0.500001 0.492676 0.499878 0.499512 0.505859,BJA,Gbest:-1065,Lbest:-1080
0.500002 0.492676 0.499756 0.499023 0.506836,BJA,Gbest:-1065,Lbest:-1090
0.500004 0.492676 0.499756 0.498047 0.506836,BJA,Gbest:-1065,Lbest:-1098
0.500008 0.492432 0.499512 0.498047 0.507324,BJA,Gbest:-1065,Lbest:-1087
0.500015 0.49231 0.499512 0.496094 0.507324,BJA,Gbest:-1065,Lbest:-1095
0.50003 0.492249 0.499023 0.496094 0.507324,BJA,Gbest:-1065,Lbest:-1100
0.50003 0.492249 0.498047 0.494141 0.507324,BJA,Gbest:-1065,Lbest:-1108
0.50003 0.492249 0.496094 0.494141 0.507568,BJA,Gbest:-1065,Lbest:-1083
0.50003 0.492249 0.494141 0.494141 0.50769,BJA,Gbest:-1065,Lbest:-1105
0.499939 0.492218 0.494141 0.494141 0.507751,BJA,Gbest:-1064,Lbest:-1064
0.499939 0.492218 0.494141 0.493164 0.507782,BJA,Gbest:-1064,Lbest:-1104
0.499939 0.492203 0.494141 0.493164 0.507782,BJA,Gbest:-1064,Lbest:-1105
0.499878 0.492201 0.506836 0.492676 0.507782,BJA,Gbest:-1064,Lbest:-1091
0.499756 0.4922 0.506836 0.492432 0.507782,BJA,Gbest:-1064,Lbest:-1087
0.499756 0.4922 0.506836 0.492432 0.507797,BJA,Gbest:-1064,Lbest:-1084
0.499512 0.4922 0.506836 0.49231 0.507797,BJA,Gbest:-1064,Lbest:-1078
0.499023 0.4922 0.506836 0.49231 0.507797,BJA,Gbest:-1064,Lbest:-1087
0.498047 0.4922 0.507324 0.49231 0.507797,BJA,Gbest:-1064,Lbest:-1101
0.496094 0.4922 0.507324 0.492249 0.507797,BJA,Gbest:-1064,Lbest:-1101
0.494141 0.4922 0.507568 0.492218 0.507797,BJA,Gbest:-1064,Lbest:-1087
0.493164 0.4922 0.50769 0.492203 0.507799,BJA,Gbest:-1064,Lbest:-1103
0.493164 0.4922 0.50769 0.492201 0.5078,BJA,Gbest:-1064,Lbest:-1105
0.492676 0.4922 0.507751 0.4922 0.5078,BJA,Gbest:-1064,Lbest:-1075
0.492432 0.4922 0.507751 0.4922 0.5078,BJA,Gbest:-1064,Lbest:-1120
0.492432 0.4922 0.507782 0.4922 0.5078,BJA,Gbest:-1064,Lbest:-1090
0.492432 0.492199 0.507782 0.4922 0.5078,BJA,Gbest:-1064,Lbest:-1101
0.49231 0.492198 0.507782 0.4922 0.5078,BJA,Gbest:-1064,Lbest:-1097
0.49231 0.492196 0.507782 0.4922 0.5078,BJA,Gbest:-1064,Lbest:-1100
0.492249 0.492193 0.507782 0.4922 0.507801,BJA,Gbest:-1064,Lbest:-1108
0.492249 0.492185 0.507782 0.4922 0.507802,BJA,Gbest:-1064,Lbest:-1104
0.492218 0.49217 0.507782 0.4922 0.507804,BJA,Gbest:-1064,Lbest:-1110
0.492203 0.492139 0.507782 0.4922 0.507804,BJA,Gbest:-1064,Lbest:-1098
0.492201 0.492078 0.507782 0.492199 0.507807,BJA,Gbest:-1064,Lbest:-1073
0.4922 0.492078 0.507782 0.492199 0.507807,BJA,Gbest:-1064,Lbest:-1071
0.4922 0.492078 0.507782 0.492199 0.507807,BJA,Gbest:-1064,Lbest:-1096
0.4922 0.491956 0.507782 0.492198 0.507807,BJA,Gbest:-1064,Lbest:-1091
0.4922 0.491712 0.507797 0.492196 0.507807,BJA,Gbest:-1064,Lbest:-1101
0.4922 0.491224 0.507797 0.492193 0.507807,BJA,Gbest:-1064,Lbest:-1109
0.4922 0.491224 0.507797 0.492193 0.507807,BJA,Gbest:-1064,Lbest:-1080
0.4922 0.490247 0.507797 0.492193 0.507815,BJA,Gbest:-1064,Lbest:-1084
0.4922 0.488294 0.507797 0.492185 0.507815,BJA,Gbest:-1064,Lbest:-1092
0.4922 0.488294 0.507799 0.49217 0.507815,BJA,Gbest:-1064,Lbest:-1098
0.4922 0.486341 0.507799 0.492139 0.507815,BJA,Gbest:-1064,Lbest:-1097
0.4922 0.486341 0.507799 0.492078 0.50783,BJA,Gbest:-1064,Lbest:-1103
0.492199 0.486341 0.5078 0.492078 0.507861,BJA,Gbest:-1064,Lbest:-1082
0.492199 0.485364 0.5078 0.491956 0.507861,BJA,Gbest:-1064,Lbest:-1105
0.492199 0.485364 0.5078 0.491712 0.507861,BJA,Gbest:-1064,Lbest:-1089
0.492199 0.484876 0.5078 0.491712 0.507922,BJA,Gbest:-1064,Lbest:-1072
0.492198 0.484632 0.5078 0.491224 0.507922,BJA,Gbest:-1064,Lbest:-1088
0.492198 0.48451 0.5078 0.509753 0.508044,BJA,Gbest:55,Lbest:55
0.507804 0.484449 0.4922 0.509753 0.508044,BJA,Gbest:55,Lbest:-1084
0.507807 0.484418 0.4922 0.509753 0.508044,BJA,Gbest:55,Lbest:-1096
0.507807 0.484418 0.492199 0.511706 0.508044,BJA,Gbest:55,Lbest:-1079
0.507815 0.484418 0.492198 0.511706 0.508044,BJA,Gbest:55,Lbest:-1082
0.507815 0.484403 0.492198 0.513659 0.508044,BJA,Gbest:55,Lbest:-1084
0.507815 0.484401 0.492196 0.513659 0.508044,BJA,Gbest:55,Lbest:-1092
0.50783 0.484401 0.492196 0.513659 0.508288,BJA,Gbest:55,Lbest:-1110
0.50783 0.4844 0.492193 0.514636 0.508288,BJA,Gbest:55,Lbest:-1073
0.50783 0.4844 0.492193 0.514636 0.508288,BJA,Gbest:55,Lbest:-1068
0.50783 0.4844 0.492193 0.514636 0.508776,BJA,Gbest:55,Lbest:-1102
0.50783 0.4844 0.492185 0.514636 0.508776,BJA,Gbest:55,Lbest:-1099
0.50783 0.4844 0.49217 0.515124 0.509753,BJA,Gbest:55,Lbest:-1090
0.507861 0.4844 0.49217 0.515124 0.509753,BJA,Gbest:55,Lbest:-1085
0.507861 0.4844 0.49217 0.515124 0.509753,BJA,Gbest:55,Lbest:-1110
0.507922 0.484399 0.492139 0.515124 0.511706,BJA,Gbest:55,Lbest:-1085
0.507922 0.484398 0.492078 0.515368 0.511706,BJA,Gbest:55,Lbest:-1072
0.507922 0.484396 0.491956 0.515368 0.513659,BJA,Gbest:55,Lbest:-1094
0.507922 0.484396 0.491956 0.515368 0.513659,BJA,Gbest:55,Lbest:-1081
0.507922 0.484392 0.491712 0.51549 0.513659,BJA,Gbest:55,Lbest:-1085
0.508044 0.484385 0.491712 0.51549 0.513659,BJA,Gbest:55,Lbest:-1103
0.508044 0.484385 0.491224 0.515551 0.513659,BJA,Gbest:55,Lbest:-1091
0.508044 0.48437 0.490247 0.515551 0.513659,BJA,Gbest:55,Lbest:-1076
0.508288 0.484339 0.490247 0.515551 0.513659,BJA,Gbest:55,Lbest:-1101
0.508288 0.484278 0.490247 0.515551 0.514636,BJA,Gbest:55,Lbest:-1102
0.508288 0.484156 0.490247 0.515582 0.515124,BJA,Gbest:55,Lbest:-1095
0.508776 0.483912 0.488294 0.515582 0.515124,BJA,Gbest:55,Lbest:-1088
0.508776 0.483424 0.488294 0.515582 0.515124,BJA,Gbest:55,Lbest:-1108
0.508776 0.482447 0.486341 0.515582 0.515368,BJA,Gbest:55,Lbest:-1080
0.508776 0.480494 0.486341 0.515597 0.51549,BJA,Gbest:55,Lbest:-1064
0.509753 0.480494 0.486341 0.515597 0.51549,BJA,Gbest:55,Lbest:-1076
0.509753 0.480494 0.486341 0.515599 0.515551,BJA,Gbest:55,Lbest:-1084
